architecture,run,trial,val_acc,test_acc,train_seed,lr,lr_decay,weight_decay,selected_by_val,selected_by_test
MLP-Giant,1,36,64.7,65.32,1480250706,0.00010310909540500809,0.47809659943273525,1.0579077580152954e-05,False,False
MLP-Giant,1,37,70.2,70.19,1514874379,0.0001328584129136414,0.0,0.00360161052313923,False,False
MLP-Giant,1,38,77.61,77.55,415617271,0.0008895191208543886,0.3324272372375323,0.0005706563039420783,False,False
MLP-Giant,1,39,77.39,77.28,632968197,0.0007938033539458783,0.4325206541217279,3.1994310089038172e-06,False,False
MLP-Giant,1,40,76.6,76.7,1658538927,0.0007157087833690793,0.12464574516396423,0.0021204876010264225,False,False
MLP-Giant,1,41,72.12,72.23,2128890869,0.0002443172562924727,0.27574495592834397,0.0001895852569192476,False,False
MLP-Giant,1,42,67.52,67.62,498629288,0.00021156255058886505,0.1403475660719412,0.0006301633837949746,False,False
MLP-Giant,1,43,76.94,77.09,542778961,0.0007711094572336869,0.1322617524456162,3.863777962884672e-05,False,False
MLP-Giant,1,44,81.66,82.21,1987462258,0.006796156668181169,0.11934400744400846,8.844679930475336e-06,False,False
MLP-Giant,1,45,80.13,80.13,550253427,0.009158895113372215,0.14360133515202408,1.2403441484852923e-06,False,False
MLP-Giant,1,46,62.24,62.19,1004332726,0.02564758075376337,0.4156515291304227,0.006405669829022029,False,False
MLP-Giant,1,47,79.71,79.95,554749649,0.0014259373193473833,0.0,1.6915675966405945e-06,False,False
MLP-Giant,1,48,81.47,82.42,531862515,0.029402509617002026,0.1471691341315636,0.0003984960670375924,False,False
MLP-Giant,1,49,82.4,83.14,1425795791,0.04876198480465256,0.15835268471092068,0.00025909987621560674,False,False
MLP-Giant,1,50,75.48,74.91,984832466,0.000511114289605163,0.3152229548779046,0.0036517250316784006,False,False
MLP-Giant,1,51,57.43,57.45,2052424876,0.04191233055159565,0.0,0.0016086181834774143,False,False
MLP-Giant,1,52,66.55,65.95,1283304191,0.00015509174383123637,0.14228311194208465,3.519879067570876e-05,False,False
MLP-Giant,1,53,76.49,76.56,710459375,0.0006171350103249713,0.0,1.703699241374604e-06,False,False
MLP-Giant,1,54,80.75,80.87,1954423769,0.0015007785775658735,0.0,2.852492770180516e-06,False,False
MLP-Giant,1,55,73.44,73.28,1774480652,0.00019427465234884677,0.0,0.0001283849541980764,False,False
MLP-Giant,1,56,82.41,82.61,1149839726,0.008684810290883405,0.15555360826653386,1.0015797033773707e-05,False,False
MLP-Giant,1,57,80.82,80.94,291708635,0.0017283015447604117,0.10479687500874514,1.1678998401230126e-06,False,False
MLP-Giant,1,58,72.76,73.11,1427128373,0.00032533450261488644,0.34740140087909693,0.0002427400390317769,False,False
MLP-Giant,1,59,81.29,82.09,418620190,0.003958640493039835,0.0,3.114696526982497e-05,False,False
MLP-Giant,1,60,72.35,72.56,76944632,0.00016359045909556392,0.0,0.0006632538297245558,False,False
MLP-Giant,1,61,77.9,78.0,878743740,0.0020465942655360793,0.0,0.0004744463038927469,False,False
MLP-Giant,1,62,77.79,77.89,1012130419,0.001662663750053362,0.0,0.0006759376317379931,False,False
MLP-Giant,1,63,64.48,65.44,224748579,0.04650826955480757,0.0,0.000371999164934115,False,False
MLP-Giant,1,64,80.37,79.97,288630406,0.00283711702105208,0.2985387210696618,0.0019270553789468633,False,False
MLP-Giant,1,65,53.01,53.78,1454434429,0.037249783206210994,0.0,0.0028414976230533447,False,False
MLP-Giant,1,66,68.53,68.59,2115838005,0.0002055848794906819,0.18787728357674002,0.001015653641742573,False,False
MLP-Giant,1,67,72.22,72.14,232424684,0.0002650749426305976,0.45554178498855336,0.002358042406526996,False,False
MLP-Giant,1,68,66.38,66.12,1936819934,0.007450561979556179,0.0,0.006520088683033344,False,False
MLP-Giant,1,69,81.84,82.46,180076713,0.034541343701578846,0.12965755800244538,0.00017500797275636157,False,False
MLP-Giant,1,70,79.66,79.65,1303914221,0.013088405911214095,0.18018796845045018,0.0015228719468954842,False,False
MLP-Giant,1,71,83.2,83.59,1040459488,0.004692762903787811,0.0,7.757026293040789e-06,False,False
MLP-Giant,1,72,74.17,74.03,1070673380,0.0002947356262083314,0.0,0.00149750145858972,False,False
MLP-Giant,1,73,83.9,84.1,16104879,0.032587889109704414,0.2825238581177864,7.540470037201945e-05,False,False
MLP-Giant,1,74,80.37,79.81,511119525,0.021985878864536335,0.10195099895124603,0.0006188518594285099,False,False
MLP-Giant,1,75,78.97,78.17,1704890499,0.0010013659454163298,0.11556846220897032,0.0003363388576310216,False,False
MLP-Giant,1,76,82.21,81.64,955172929,0.0046843463338470835,0.19116091395376428,0.00036751613526639425,False,False
MLP-Giant,1,77,77.38,77.37,979575758,0.0006588693043750591,0.0,0.002265775823707229,False,False
MLP-Giant,1,78,78.33,77.9,1133187531,0.0009464722993666069,0.16478636416070594,4.967285942315725e-05,False,False
MLP-Giant,1,79,83.01,83.28,687048015,0.005563504512102574,0.4317852161606767,1.465937197604473e-05,False,False
MLP-Giant,1,80,79.69,79.91,467466574,0.0018832308996993754,0.4906489848314548,0.0005439094652746811,False,False
MLP-Giant,1,81,82.88,82.32,500795577,0.0037723756990996437,0.11914190571067755,2.772980439952951e-05,False,False
MLP-Giant,1,82,80.36,80.53,2138469366,0.013211742059568493,0.0,6.397455660490932e-05,False,False
