architecture,run,trial,val_acc,test_acc,train_seed,lr,lr_decay,weight_decay
MLP-Tiny,17,9,49.667994687915005,50.332005312085,1674208433,0.0209805570128621,0.0,2.4378681743813456e-06
MLP-Tiny,18,0,46.26865671641791,50.94850948509485,1799741027,0.0319070633761193,0.0003031906375016,0.000230994872388
MLP-Tiny,18,1,47.4898236092266,51.6260162601626,1018304938,0.002469934817656,1.1477365288508738e-05,2.959997244144916e-05
MLP-Tiny,18,2,49.66078697421981,49.4579945799458,547617997,0.0131139225886954,0.0,6.921859464046465e-05
MLP-Tiny,18,3,50.06784260515604,51.0840108401084,697453282,0.0100865166858842,0.0,3.002755304397881e-06
MLP-Tiny,18,4,50.474898236092265,50.8130081300813,1918735006,0.003802997906879,0.0,4.515574629723295e-06
MLP-Tiny,18,5,54.00271370420624,53.79403794037941,236567728,0.0025828083131724,0.0001312289692133,0.0050921913311589
MLP-Tiny,18,6,37.58480325644505,40.921409214092144,1449741268,0.0087891343113667,0.0050643376419945,1.883649675893724e-05
MLP-Tiny,18,7,48.98236092265943,51.3550135501355,570626799,0.0009122211088115,0.0,1.1133998861210025e-06
MLP-Tiny,18,8,19.402985074626866,21.54471544715447,1401089951,0.0001543099946037,0.0017243279821806,0.0001850447004853
MLP-Tiny,18,9,49.38941655359566,48.23848238482385,33925822,0.0108073741167705,0.0019158391289221,1.969890065300277e-06
MLP-Tiny,19,0,22.90809327846365,21.67352537722908,1754450693,0.0002978065372076,0.003263166678347,0.0089021054192209
MLP-Tiny,19,1,33.05898491083676,27.29766803840878,2025937239,0.0018461225517006,0.0037389502073993,4.1897219140306496e-05
MLP-Tiny,19,2,30.45267489711934,29.080932784636488,2027531273,0.0001854412946529,0.0004824756860687,0.0029400569990252
MLP-Tiny,19,3,49.93141289437586,52.12620027434842,200868525,0.0214623684339719,0.0,7.920017703735721e-05
MLP-Tiny,19,4,31.00137174211248,30.45267489711934,1647843979,0.0002039833530924,0.0003190049370662,0.0001958283782005
MLP-Tiny,19,5,32.78463648834019,30.727023319615917,1362398871,0.0023296250255961,0.0044141172295192,1.1076870870264976e-05
MLP-Tiny,19,6,49.519890260631,50.89163237311386,1426931935,0.0492314838417669,0.0001097274821726,3.8024274878812577e-05
MLP-Tiny,19,7,53.36076817558299,51.30315500685871,132962175,0.0086607426949058,8.679313223853183e-05,0.0004789963219174
MLP-Tiny,19,8,51.851851851851855,50.75445816186557,211799643,0.0017252632620446,0.0,0.0036152384173205
MLP-Tiny,19,9,36.07681755829904,36.48834019204389,1669666568,0.0001207981536991,0.0,5.91069855825117e-06
MLP-Tiny,20,0,51.90217391304348,51.83175033921302,1424293346,0.0021258006170592,0.0004270031588003,2.5457976454991856e-05
MLP-Tiny,20,1,51.90217391304348,49.796472184531886,1358236003,0.0127812772044692,0.0001098672463775,2.545402664748183e-05
MLP-Tiny,20,2,30.43478260869565,37.99185888738128,334926054,0.000290786818664,0.0003816003630506,0.0008850908761077
MLP-Tiny,20,3,47.28260869565217,47.21845318860244,1025191925,0.0004968483541437,0.0,0.0006406893621482
MLP-Tiny,20,4,45.516304347826086,48.5753052917232,1899804920,0.0004708694217052,0.0,0.0001959949558335
MLP-Tiny,20,5,53.125,52.91723202170964,863826892,0.0201281000062444,0.0,2.528693989849809e-05
MLP-Tiny,20,6,33.42391304347826,34.73541383989145,764148871,0.0042581850637265,0.0055492731839093,5.674081450372426e-05
MLP-Tiny,20,7,35.46195652173913,37.58480325644505,1866183737,0.0007499598886287,0.0008649690911988,0.0058788429697472
MLP-Tiny,20,8,47.28260869565217,48.16824966078698,847230574,0.0016015235346955,9.046398637180546e-05,9.535679913522049e-06
MLP-Tiny,20,9,52.44565217391305,50.61058344640434,1946581549,0.0963157631806004,0.0010467437104776,2.1060768651304276e-05
MLP-Tiny,21,0,44.03669724770642,42.539267015706805,32791784,0.0001968183263463,0.0,4.734992386978916e-05
MLP-Tiny,21,1,52.16251638269987,52.35602094240838,1981636018,0.0553476956490891,0.0,6.559436799775493e-06
MLP-Tiny,21,2,54.65268676277851,52.87958115183246,1344361594,0.0753011236590623,1.668873363752409e-05,0.0010689509210033
MLP-Tiny,21,3,53.99737876802097,49.86910994764398,2034584742,0.0086635844886528,1.1364602423859497e-05,0.0002250707814305
MLP-Tiny,21,4,40.76015727391874,42.27748691099477,1724950633,0.0035514053537023,0.0026511980781403,0.0018839465521225
MLP-Tiny,21,5,50.9829619921363,48.29842931937173,923066040,0.0111654905604663,3.742429755414574e-05,8.390600341787799e-05
MLP-Tiny,21,6,53.47313237221494,53.1413612565445,93850791,0.0188832171640117,2.0291844979528736e-05,0.0001410040154487
MLP-Tiny,21,7,52.03145478374836,49.60732984293194,1463605715,0.0158673070683904,0.0021551081267394,4.42417362032869e-06
MLP-Tiny,21,8,23.06684141546527,23.82198952879581,1660635944,0.0007342511594417,0.0057112620935621,0.0010708735385707
MLP-Tiny,21,9,54.12844036697248,51.17801047120419,1071154227,0.0122009447999838,0.0,1.822710108954766e-05
MLP-Tiny,22,0,45.70637119113574,43.49030470914128,1821672301,0.0043630338991102,0.0031442733348316,0.0005916872526703
MLP-Tiny,22,1,49.445983379501385,46.81440443213297,1093031387,0.0049743951841189,0.0004215386394678,2.349033869400275e-06
MLP-Tiny,22,2,31.02493074792244,29.778393351800556,231753720,0.0017081096381536,0.006719993626652,5.143608300461504e-05
MLP-Tiny,22,3,43.49030470914128,40.443213296398895,600982459,0.0020717862663888,0.0012759920974759,3.0347073800195224e-06
MLP-Tiny,22,4,50.69252077562327,51.52354570637119,359394125,0.0157318517239952,1.1027223540605929e-05,0.0001455259889942
MLP-Tiny,22,5,53.18559556786703,51.24653739612188,84567778,0.0471322302393176,0.0,2.4567265658752385e-06
