architecture,run,trial,val_acc,test_acc,train_seed,lr,weight_decay,momentum,max_steps
shake_shake_32d,4,4,94.03457952385264,94.2970942337286,1012332360,0.0271214303035914,0.0002683282262528,0.849007596783416,88901
shake_shake_32d,4,5,95.0936905947316,95.12084728885672,1581042708,0.3328011711509617,0.0001765590706089,0.8212905197073608,119776
shake_shake_32d,4,6,94.69539241423011,94.85833257898072,792294725,0.0351707335803554,0.0001080672742318,0.9749227799955712,83630
shake_shake_32d,4,7,94.52340001810448,94.78591472798044,685278493,0.186769986497376,3.808987265833492e-05,0.95626850844151,98526
shake_shake_32d,4,8,94.97601158685616,95.22042183398209,967167805,0.05314846049914,0.0012584443154677,0.8030046514356968,92551
shake_shake_32d,4,9,95.16610844573188,95.07558613198154,1693265452,0.1007623019484313,0.0002951071080105,0.8156269374705234,113611
shake_shake_32d,4,10,94.17036299447814,94.70444464560514,84861100,0.1948873776636143,2.214532805056991e-05,0.9273417324032605,105964
shake_shake_32d,4,11,94.51434778672945,94.90359373585588,1426803813,0.0460236979214498,0.0004184615268452,0.8168623923765806,77494
shake_shake_32d,4,12,90.45894813071422,90.9839775504662,279698178,0.0070258550259087,1.9411506112293586e-05,0.839147214066295,101897
shake_shake_32d,4,13,91.47279804471802,91.79867837421924,1899023004,0.0065409585791627,2.3804729136458965e-05,0.9184217359338096,102794
shake_shake_32d,4,14,94.4509821671042,94.76781026523038,1105703852,0.0372675421765419,0.0001379609011937,0.9238372367934502,108924
shake_shake_32d,4,15,95.0393772064814,95.23852629673216,1233582249,0.0395570643042262,0.0003006673297492,0.9275556731003975,102456
shake_shake_32d,4,16,94.5596089436046,95.0665339006065,616264792,0.0482034181528518,2.9430274854298858e-05,0.9896212367001088,106749
shake_shake_32d,4,17,91.8982529193446,92.1064542409704,157465511,0.0130108936690084,1.0310921679355644e-05,0.8908584230388754,90087
shake_shake_32d,4,18,82.8822304698108,83.95039377206481,1083365344,0.4559129724181044,0.0008048220602769,0.8897249635895378,79954
shake_shake_32d,4,19,93.98931836697746,94.5867656377297,886093174,0.1844247721587899,1.0676945367634014e-05,0.9436881530395772,125753
shake_shake_32d,4,20,94.46003439847922,94.65918348872997,970782802,0.1091869182345017,0.0001472435653208,0.8274584439213496,78342
shake_shake_32d,4,21,95.11179505748169,94.95790712410609,1481079698,0.0091532666925841,0.0024496864704783,0.8159768045189983,138549
shake_shake_32d,4,22,61.31076310310492,62.30650855435865,1754669429,0.1504397705986455,0.0077624396093759,0.8332880451345573,105803
shake_shake_32d,4,23,94.38761654747896,95.00316828098126,1774810260,0.010942875775361,0.0011038020949563,0.8686737124516246,91691
shake_shake_32d,4,24,95.1480039829818,95.41957092423284,1111624793,0.1645391047837396,0.0001953737205928,0.8662495673944178,118323
shake_shake_32d,4,25,73.11487281614919,73.9748347967774,164138957,0.3488104615936031,0.0019846296347176,0.8492210586892711,78312
shake_shake_32d,4,26,94.4781388612293,94.84928034760568,1362395528,0.4748472799257003,3.554769327484771e-05,0.8298424381979711,100100
shake_shake_32d,4,27,94.36951208472888,94.668235720105,217978319,0.0674778455293203,0.0001067587924133,0.8482523267122396,106154
shake_shake_32d,4,28,86.28586946682357,86.95573458857608,1918313804,0.0165170898406787,0.0054029426175555,0.9646916909378362,101945
shake_shake_32d,4,29,94.89454150448086,95.18421290848194,861386679,0.0753924823269357,8.243154610640162e-05,0.9689148917339464,124935
shake_shake_32d,5,0,95.63563926113729,95.29198732458126,1965637406,0.0270736324772062,0.00206832250542,0.862422741957944,114067
shake_shake_32d,5,1,52.1550162984426,51.89678587596197,1564917670,0.3166599806450859,0.0048683961002036,0.8097147302933212,138505
shake_shake_32d,5,2,92.31256791017748,92.06880941602536,1307244156,0.0095216501619164,9.720795467513944e-05,0.8791818108923145,88210
shake_shake_32d,5,3,95.14668598333937,94.9117247623359,1976359509,0.0706674671241445,0.0016155019940734,0.8240841747270553,117306
shake_shake_32d,5,4,94.61245925389352,94.62200090538704,1037309692,0.0121596219007792,0.0087770016380895,0.880147900980378,111746
shake_shake_32d,5,5,93.9424121695038,93.9248528746039,1102443772,0.0661341969972547,0.0004050685415687,0.962383981324542,83603
shake_shake_32d,5,6,94.22310756972112,94.16025350837484,1457846056,0.13350658017028,2.7962538259296497e-05,0.8546102804181809,107190
shake_shake_32d,5,7,95.23723288663528,94.93888637392486,1629495429,0.01157065676868,0.0060331858942756,0.81111519144303,124150
shake_shake_32d,5,8,95.27345164795364,95.37347215934813,1230112272,0.2717912483250285,0.0001312459463202,0.9109021707853736,133807
shake_shake_32d,5,9,94.57624049257517,94.70348574015392,1668608837,0.0569991343713287,0.0025312192774837,0.8546005993393057,83552
shake_shake_32d,5,10,94.60340456356391,94.83929379809868,162953240,0.0304544380411197,0.0001627699647429,0.8851790337317083,127766
shake_shake_32d,5,11,91.37088011590004,91.47125396106836,799607498,0.0053378903177163,0.0002729076797215,0.8255081861301892,116735
shake_shake_32d,5,12,95.13763129300978,95.3191489361702,1430935696,0.0093468006704159,0.0010327744781555,0.906864634838892,129384
shake_shake_32d,5,13,95.18290474465772,94.80307831598007,1615633132,0.4943195876898139,0.0001353460694763,0.8577843455570865,75816
shake_shake_32d,5,14,69.32270916334662,69.47034857401539,664203902,0.1818698647651678,0.0041611332875431,0.8468799428889963,91945
shake_shake_32d,5,15,94.39514668598332,94.48619284744228,1760985102,0.0090347568191273,0.0010081833591203,0.891220764997431,77688
shake_shake_32d,5,16,93.02788844621514,93.10095065640562,389251821,0.0196296777394658,8.897117274625529e-05,0.872519404191543,82812
shake_shake_32d,5,17,95.6084751901485,95.46401086464464,1213540179,0.0269114918940178,0.002173615589395,0.810964832838883,110003
shake_shake_32d,5,18,88.01159000362188,88.2571299230421,41180944,0.0496793708223735,0.0096408456314557,0.8548876526340795,116009
shake_shake_32d,5,19,95.20101412531692,94.83023992756904,1062626870,0.012701872336931,8.690710359238813e-05,0.98973132575109,107259
shake_shake_32d,5,20,95.02897500905468,94.90267089180624,2120248259,0.0493082670545409,0.0009785271794226,0.926422502107863,87156
shake_shake_32d,5,21,95.63563926113729,95.3191489361702,743906174,0.0234855469675705,0.0003885327839962,0.952460289877078,135261
shake_shake_32d,5,22,94.07823252444769,94.44092349479402,1136085356,0.1137673994819949,6.822797087979284e-05,0.8039024110293533,84318
shake_shake_32d,5,23,94.8116624411445,94.54956994114984,1649058578,0.0105008461992832,9.45573756002161e-05,0.9747280658215418,140315
shake_shake_32d,5,24,92.62042738138356,92.6935264825713,237951194,0.2905263448678918,0.0009974584661243,0.8206772920067793,86312
