val_trial,test_trial,new_trial,val_test_acc,test_test_acc,new_test_acc,val_cifar101_acc,test_cifar101_acc,new_cifar101_acc,n_trials,architecture,run,source
8,8,8,94.7970007315289,94.7970007315289,94.7970007315289,87.3,87.3,87.3,20,mobilenetv2,24,random
13,13,13,94.27144802541989,94.27144802541989,94.27144802541989,87.45,87.45,87.45,20,mobilenetv2,25,random
14,15,10,94.41083521444696,94.78103837471784,94.52821670428894,87.2,87.05,87.55,20,mobilenetv2,26,random
5,5,5,94.09320809248555,94.09320809248555,94.09320809248555,86.8,86.8,86.8,20,mobilenetv2,27,random
15,15,15,94.63392451114144,94.63392451114144,94.63392451114144,87.5,87.5,87.5,20,mobilenetv2,28,random
17,17,4,94.22781145390393,94.22781145390393,93.89306070750024,86.55,86.55,87.15,20,mobilenetv2,29,random
9,9,4,94.97455470737914,94.97455470737914,94.89276626681207,87.05,87.05,87.6,30,resnet9,0,random
4,21,20,94.50240406422934,94.55683570715776,94.43890048081283,87.1,86.95,87.65,28,resnet9,1,random
6,18,18,94.4759845003154,94.84545372623232,94.84545372623232,86.35,87.45,87.45,29,resnet9,2,random
6,5,6,94.44545289526228,94.52713741150843,94.44545289526228,87.5,86.9,87.5,29,resnet9,3,random
6,6,24,94.7125813449024,94.7125813449024,94.10701373825016,86.65,86.65,86.9,30,resnet9,4,random
8,8,8,94.7755769580229,94.7755769580229,94.7755769580229,86.7,86.7,86.7,30,resnet9,5,random
27,12,27,94.40954201948466,94.66448147136484,94.40954201948466,87.2,86.3,87.2,29,resnet9,6,random
5,11,11,94.67477093350269,94.80177810033568,94.80177810033568,85.5,87.05,87.05,30,resnet9,7,random
15,15,27,94.59705293796615,94.59705293796615,94.55157358559214,86.55,86.55,86.9,29,resnet9,8,random
25,25,18,95.02897500905468,95.02897500905468,94.70300615718942,86.8,86.8,87.5,29,resnet9,9,random
9,23,8,94.8219476744186,94.96729651162792,94.35864825581396,87.4,86.9,87.5,30,resnet9,10,random
10,10,10,94.81474754812932,94.81474754812932,94.81474754812932,87.15,87.15,87.15,29,resnet9,11,random
9,9,6,94.47613873041746,94.47613873041746,94.46708322013946,86.85,86.85,87.6,29,resnet9,12,random
17,3,26,94.48582848837208,95.0218023255814,94.71293604651164,86.05,87.3,87.7,29,resnet9,13,random
5,5,10,94.91755752853778,94.91755752853778,94.6820076100743,87.15,87.15,88.2,29,resnet9,14,random
4,4,4,94.99323410013533,94.99323410013533,94.99323410013533,86.85,86.85,86.85,18,resnet9,15,random
10,16,10,94.53463203463204,94.56168831168831,94.53463203463204,87.1,86.9,87.1,20,resnet9,16,random
16,7,8,94.4721341187132,94.73493429995467,94.49932034435886,87.15,86.6,87.8,20,resnet9,17,random
8,6,8,94.5617402431222,94.71711909331871,94.5617402431222,86.85,86.2,86.85,20,resnet9,18,random
0,0,0,95.15502124197776,95.15502124197776,95.15502124197776,87.65,87.65,87.65,20,resnet9,19,random
17,17,17,94.79006772009028,94.79006772009028,94.79006772009028,87.95,87.95,87.95,20,resnet9,20,random
11,13,13,94.82587064676616,95.06105834464044,95.06105834464044,86.8,87.4,87.4,20,resnet9,21,random
7,10,12,94.38495455772518,94.57392243318635,94.52893008188607,87.5,85.95,87.8,20,resnet9,22,random
5,5,8,94.51992753623188,94.51992753623188,93.67753623188406,85.95,85.95,86.75,19,resnet9,23,random
11,17,1,94.68297101449276,94.98188405797102,94.95471014492752,86.85,87.65,87.95,20,resnet9,24,random
9,11,11,94.3669674596664,94.5401513079938,94.5401513079938,86.6,87.3,87.3,20,resnet9,25,random
6,11,6,94.52216569767442,94.64934593023256,94.52216569767442,87.3,86.95,87.3,20,resnet9,26,random
4,6,4,94.3937064834072,94.5203002079754,94.3937064834072,87.5,86.35,87.5,20,resnet9,27,random
7,12,7,94.62248777838133,94.72207133804092,94.62248777838133,87.95,86.95,87.95,20,resnet9,28,random
13,9,9,94.14048392921632,94.23979776092452,94.23979776092452,86.55,87.6,87.6,20,resnet9,29,random
7,13,14,92.24271050958306,92.66963393587064,92.14279226087748,84.35,83.1,84.45,28,resnet_basic_20,0,random
9,9,9,92.31397459165154,92.31397459165154,92.31397459165154,84.0,84.0,84.0,30,resnet_basic_20,1,random
3,2,21,92.6093241778099,92.90748102638236,92.6454644018793,83.0,84.6,84.8,29,resnet_basic_20,2,random
13,29,13,92.27572499774143,92.40220435450355,92.27572499774143,84.1,84.05,84.1,30,resnet_basic_20,3,random
11,29,16,92.12983951400852,92.8007978964548,91.81249433312178,84.0,84.6,84.8,30,resnet_basic_20,4,random
8,4,8,92.5892535160476,92.60728452939055,92.5892535160476,84.75,83.95,84.75,30,resnet_basic_20,5,random
19,24,19,92.5684838622186,92.82162553114549,92.5684838622186,84.8,83.25,84.8,29,resnet_basic_20,6,random
16,10,0,92.04339963833635,92.05244122965642,92.0253164556962,83.4,83.4,84.3,29,resnet_basic_20,7,random
3,27,27,92.32304900181488,92.66787658802178,92.66787658802178,84.15,84.9,84.9,30,resnet_basic_20,8,random
17,1,6,92.61280931586607,92.858442503639,91.73034934497817,83.65,83.45,83.8,30,resnet_basic_20,9,random
27,27,18,92.56100879978229,92.56100879978229,92.36142610904471,84.55,84.55,84.95,30,resnet_basic_20,10,random
12,23,26,91.913090515687,92.47205192931844,91.97619906238732,83.85,84.0,84.65,30,resnet_basic_20,11,random
5,5,5,92.52532627544036,92.52532627544036,92.52532627544036,84.15,84.15,84.15,29,resnet_basic_20,12,random
