architecture,run,val_strategy_test_acc,test_strategy_test_acc,gap
mobilenetv2,15,94.5117540687161,94.5117540687161,0.0
mobilenetv2,16,94.96461622210126,94.96461622210126,0.0
mobilenetv2,17,94.23425054308473,94.42433019551048,0.19007965242575153
mobilenetv2,18,94.15966006690172,94.15966006690172,0.0
mobilenetv2,19,94.35182654641524,94.36093650359844,0.009109957183198958
mobilenetv2,20,94.70060693903432,94.70060693903432,0.0
mobilenetv2,21,94.1468253968254,94.43542568542568,0.28860028860027853
mobilenetv2,22,94.74731036976765,94.74731036976765,0.0
mobilenetv2,23,94.22290852938504,94.22290852938504,0.0
mobilenetv2,24,94.7970007315289,94.9067300658376,0.10972933430871024
mobilenetv2,25,94.27144802541989,94.27144802541989,0.0
mobilenetv2,26,94.41083521444696,94.78103837471784,0.37020316027087574
mobilenetv2,27,94.50867052023122,94.50867052023122,0.0
mobilenetv2,28,94.63392451114144,94.63392451114144,0.0
mobilenetv2,29,94.22781145390393,94.22781145390393,0.0
resnet9,0,94.97455470737914,94.97455470737914,0.0
resnet9,1,94.50240406422934,94.55683570715776,0.05443164292842084
resnet9,2,94.92655672704336,94.92655672704336,0.0
resnet9,3,94.44545289526228,94.52713741150843,0.08168451624615614
resnet9,4,94.7125813449024,94.7125813449024,0.0
resnet9,5,94.7755769580229,94.7755769580229,0.0
resnet9,6,94.40954201948466,94.66448147136484,0.2549394518801762
resnet9,7,94.67477093350269,94.80177810033568,0.12700716683299618
resnet9,8,94.59705293796615,94.59705293796615,0.0
resnet9,9,95.02897500905468,95.02897500905468,0.0
resnet9,10,94.8219476744186,94.96729651162792,0.14534883720932612
resnet9,11,94.81474754812932,94.81474754812932,0.0
resnet9,12,94.47613873041746,94.47613873041746,0.0
resnet9,13,94.48582848837208,95.0218023255814,0.5359738372093261
resnet9,14,94.91755752853778,94.91755752853778,0.0
resnet9,15,94.34370771312584,94.99323410013533,0.6495263870094874
resnet9,16,94.53463203463204,94.56168831168831,0.02705627705627478
resnet9,17,94.4721341187132,94.73493429995467,0.26280018124147375
resnet9,18,94.99131706425372,94.99131706425372,0.0
resnet9,19,95.15502124197776,95.15502124197776,0.0
resnet9,20,94.79006772009028,94.79006772009028,0.0
resnet9,21,94.82587064676616,95.06105834464044,0.23518769787428084
resnet9,22,94.38495455772518,94.57392243318635,0.18896787546117366
resnet9,23,94.58333333333331,94.58333333333331,0.0
resnet9,24,94.68297101449276,94.98188405797102,0.298913043478251
resnet9,25,94.9503235803482,94.9503235803482,0.0
resnet9,26,94.52216569767442,94.79469476744184,0.2725290697674154
resnet9,27,94.53838502577086,94.53838502577086,0.0
resnet9,28,94.62248777838133,94.72207133804092,0.09958355965959242
resnet9,29,94.43842542434092,94.43842542434092,0.0
